PHIF,SW,VSH,BVW,KLOGH,KLOGV,WELL,DEPTH
0.089143,1.0,0.3842,0.089143,0.1799,0.0917,15_9-19 BT2,4071.6708
0.099986,1.0,0.3633,0.099986,0.3393,0.1799,15_9-19 BT2,4071.8232
0.100591,1.0,0.4273,0.100591,0.1,0.0445,15_9-19 BT2,4071.9756
0.079034,1.0,0.4349,0.079034,0.1,0.0247,15_9-19 BT2,4072.128
0.033209,1.0,0.4071,0.033209,0.1,0.0186,15_9-19 BT2,4072.2804
0.060186,1.0,0.3772,0.060186,0.1,0.0608,15_9-19 BT2,4072.4328
0.032081,1.0,0.2092,0.032081,0.1,1.4137,15_9-19 BT2,4072.5852
0.210246,0.6466,0.1311,0.135945,317.6243,256.8063,15_9-19 BT2,4072.7376
0.209738,0.741,0.1315,0.155421,311.9815,251.9655,15_9-19 BT2,4072.89
0.191475,0.8406,0.0912,0.160948,514.463,428.5031,15_9-19 BT2,4073.0424
0.217177,0.9727,0.107,0.211253,595.3737,500.3788,15_9-19 BT2,4073.1948
0.21895,1.0,0.0943,0.21895,799.3901,684.1555,15_9-19 BT2,4073.3472
0.231352,1.0,0.0915,0.231352,1065.7175,928.399,15_9-19 BT2,4073.4996
0.22537,1.0,0.0688,0.22537,1527.802,1360.8182,15_9-19 BT2,4073.652
0.227848,1.0,0.0815,0.227848,1227.165,1078.3781,15_9-19 BT2,4073.8044
0.234175,1.0,0.0682,0.234175,1818.5057,1637.2307,15_9-19 BT2,4073.9568
0.226217,1.0,0.0834,0.226217,1145.9927,1002.809,15_9-19 BT2,4074.1092
0.229109,1.0,0.0925,0.229109,1000.453,868.1561,15_9-19 BT2,4074.2616
0.212011,1.0,0.0914,0.212011,747.3804,636.9965,15_9-19 BT2,4074.414
0.187461,0.7056,0.0753,0.132267,663.232,561.1303,15_9-19 BT2,4074.5664
0.201068,0.6875,0.0599,0.13824,500.0,1028.299,15_9-19 BT2,4074.7188
0.120595,0.7165,0.0678,0.086405,0.1,179.2815,15_9-19 BT2,4074.8712
0.085129,0.7645,0.0639,0.065084,0.1,97.5455,15_9-19 BT2,4075.0236
0.130847,0.1543,0.0686,0.020188,0.1,215.1992,15_9-19 BT2,4075.176
0.068535,0.2418,0.0432,0.016571,0.1,111.1972,15_9-19 BT2,4075.3284
0.002294,1.0,0.0525,0.002294,0.1,24.7877,15_9-19 BT2,4075.4808
0.0,1.0,0.0558,0.0,0.1,22.0674,15_9-19 BT2,4075.6332
0.0,1.0,0.0514,0.0,0.1,24.2835,15_9-19 BT2,4075.7856
0.0,1.0,0.0496,0.0,0.1,25.2646,15_9-19 BT2,4075.938
0.0,1.0,0.0413,0.0,0.1,30.3682,15_9-19 BT2,4076.0904
0.004402,1.0,0.0581,0.004402,0.1,22.8366,15_9-19 BT2,4076.2428
0.003868,1.0,0.0935,0.003868,0.1,10.3777,15_9-19 BT2,4076.3952
0.0,1.0,0.1084,0.0,0.1,6.9321,15_9-19 BT2,4076.5476
0.003291,1.0,0.1712,0.003291,0.1,1.8556,15_9-19 BT2,4076.7
0.104705,0.7671,0.1729,0.080314,0.2,12.9996,15_9-19 BT2,4076.8524
0.08399,1.0,0.1979,0.08399,0.5,5.005,15_9-19 BT2,4077.0048
0.088432,1.0,0.2992,0.088432,1.0,0.5878,15_9-19 BT2,4077.1572
0.124262,1.0,0.3751,0.124262,2.0,0.2231,15_9-19 BT2,4077.3096
0.143069,0.8655,0.4239,0.123826,3.0,0.1101,15_9-19 BT2,4077.462
0.133162,0.9781,0.4657,0.130244,4.0,0.0362,15_9-19 BT2,4077.6144
